"timestamp","deviceId","temp","humid","batt","co2","mic"
1606564909,"12",22.53,53.05,4.318359,1047,0.46
1606564896,"12",22.5,53.2,4.318359,1050,0.53
1606564883,"12",22.49,53.06,4.318359,1057,0.42
1606564870,"12",22.57,53.02,4.324805,1055,0.41
1606564856,"12",22.56,53.07,4.318359,1056,0.66
1606564843,"12",22.51,53.26,4.318359,1058,0.73
1606564830,"12",22.54,53.08,4.324805,1058,0.42
1606564817,"12",22.54,53.18,4.318359,1055,0.69
1606564804,"12",22.5,53.14,4.318359,1058,0.53
1606564790,"12",22.53,53.42,4.318359,1058,0.49
1606564777,"12",22.53,53.15,4.318359,1058,0.56
1606564764,"12",22.54,53.13,4.318359,1059,0.61
1606564751,"12",22.57,53.09,4.318359,1057,0.42
1606564737,"12",22.57,53.19,4.318359,1055,0.48
1606564724,"12",22.49,53.36,4.318359,1055,0.49
1606564711,"12",22.53,53.2,4.324805,1052,0.44
1606564698,"12",22.53,53.38,4.318359,1048,0.39
1606564685,"12",22.49,53.22,4.324805,1047,0.41
1606564671,"12",22.46,53.27,4.318359,1045,0.43
1606564658,"12",22.44,53.26,4.318359,1045,0.43
1606564645,"12",22.46,53.26,4.324805,1044,0.43
1606564632,"12",22.47,53.32,4.318359,1044,0.41
1606564618,"12",22.43,53.26,4.318359,1049,0.4
1606564605,"12",22.44,53.2,4.318359,1049,0.63
1606564592,"12",22.49,53.14,4.324805,1048,0.44
1606564579,"12",22.49,53.07,4.324805,1049,0.46
1606564566,"12",22.5,53.11,4.324805,1052,0.43
1606564552,"12",22.56,53.18,4.318359,1055,0.57
1606564539,"12",22.49,53.2,4.324805,1059,0.43
1606564526,"12",22.46,53.21,4.324805,1062,0.44
1606564513,"12",22.47,52.88,4.324805,1063,0.44
1606564500,"12",22.51,52.98,4.324805,1061,0.44
1606564486,"12",22.57,53.18,4.318359,1063,0.42
1606564473,"12",22.53,53.19,4.33125,1064,0.48
1606564460,"12",22.56,53.08,4.318359,1068,0.5
1606564447,"12",22.56,53.07,4.324805,1069,0.47
1606564433,"12",22.59,52.95,4.318359,1068,0.42
1606564420,"12",22.61,52.98,4.324805,1068,0.43
1606564407,"12",22.57,53.01,4.324805,1072,0.41
1606564394,"12",22.61,53.17,4.318359,1073,0.4
1606564381,"12",22.66,53.12,4.324805,1073,0.39
1606564367,"12",22.59,53.26,4.324805,1074,0.42
1606564354,"12",22.59,53.19,4.324805,1077,0.43
1606564341,"12",22.6,52.98,4.318359,1075,0.41
1606564328,"12",22.57,53,4.318359,1075,0.41
1606564314,"12",22.6,53.47,4.324805,1076,0.49
1606564301,"12",22.6,53.03,4.318359,1076,0.39
1606564288,"12",22.56,52.95,4.318359,1078,0.47
1606564275,"12",22.57,53.07,4.324805,1083,0.41
1606564262,"12",22.53,53.06,4.318359,1084,0.38
1606564248,"12",22.54,53.21,4.318359,1084,0.41
1606564235,"12",22.57,52.97,4.324805,1087,0.4
1606564222,"12",22.59,53.09,4.318359,1092,0.4
1606564209,"12",22.59,53.02,4.324805,1095,0.42
1606564195,"12",22.63,52.91,4.324805,1095,0.44
1606564182,"12",22.61,52.99,4.318359,1097,0.53
1606564169,"12",22.59,52.97,4.318359,1098,0.4
1606564156,"12",22.63,53.06,4.324805,1100,0.42
1606564143,"12",22.64,53.01,4.324805,1102,0.38
1606564129,"12",22.68,53.08,4.324805,1104,0.39
1606564116,"12",22.6,53.17,4.318359,1104,0.38
1606564103,"12",22.63,53.04,4.318359,1108,0.42
1606564090,"12",22.67,52.96,4.318359,1107,0.39
1606564076,"12",22.67,52.86,4.324805,1104,0.39
1606564063,"12",22.64,52.92,4.324805,1108,0.37
1606564050,"12",22.64,52.94,4.324805,1117,0.4
1606564037,"12",22.67,52.86,4.318359,1129,0.41
1606564024,"12",22.67,53.02,4.324805,1141,0.4
1606564010,"12",22.66,53.13,4.318359,1140,0.5
1606563997,"12",22.64,53.29,4.324805,1147,0.41
1606563984,"12",22.67,53.34,4.318359,1161,0.43
1606563971,"12",22.63,53.36,4.324805,1170,0.37
1606563957,"12",22.64,53.4,4.324805,1174,0.39
1606563944,"12",22.68,53.46,4.318359,1170,0.41
1606563931,"12",22.68,53.49,4.318359,1171,0.43
1606563918,"12",22.64,53.66,4.324805,1180,0.53
1606563905,"12",22.63,53.57,4.311914,1183,0.48
1606563891,"12",22.66,53.66,4.324805,1181,0.49
1606563878,"12",22.66,53.54,4.324805,1169,0.45
1606563865,"12",22.7,53.47,4.324805,1141,0.39
1606563852,"12",22.72,53.28,4.318359,1131,0.42
1606563838,"12",22.78,53.18,4.318359,1126,0.48
1606563825,"12",22.72,53.4,4.324805,1120,0.42
1606563812,"12",22.71,53.29,4.324805,1119,0.4
1606563799,"12",22.74,53.13,4.324805,1116,0.39
1606563786,"12",22.75,53.06,4.324805,1112,0.44
1606563772,"12",22.71,53.27,4.318359,1108,0.4
1606563759,"12",22.74,53.08,4.324805,1102,0.39
1606563746,"12",22.78,52.95,4.324805,1095,0.5
1606563733,"12",22.82,52.79,4.324805,1094,0.48
1606563719,"12",22.85,52.78,4.318359,1087,0.49
