1607296220,"15",21.61,997.9,22.26,36.59,658,0
1607296200,"15",21.64,997.89,22.26,36.64,659,0
1607296180,"15",21.67,997.91,22.27,36.51,659,0
1607296159,"15",21.67,997.87,22.33,36.93,658,0
1607296139,"15",21.67,997.87,22.3,37,660,0
1607296119,"15",21.68,997.83,22.31,36.8,660,0
1607296099,"15",21.68,997.83,22.26,36.75,659,0
1607296079,"15",21.66,997.83,22.29,36.93,660,0
1607296058,"15",21.68,997.83,22.3,37.17,659,0
1607296038,"15",21.69,997.83,22.31,37.36,660,0
1607296018,"15",21.69,997.83,22.3,37.75,659,0
1607295998,"15",21.7,997.79,22.33,37.8,657,0
1607295977,"15",21.7,997.83,22.31,37.72,653,0
1607295957,"15",21.7,997.8,22.31,37.24,655,0
1607295937,"15",21.7,997.79,22.3,36.82,656,0
1607295917,"15",21.71,997.8,22.33,37.03,661,0
1607295896,"15",21.71,997.81,22.34,37.11,668,0
1607295876,"15",21.71,997.78,22.36,37.16,675,3.09
1607295856,"15",21.72,997.81,22.36,37.36,685,0
1607295836,"15",21.71,997.8,22.37,38.05,690,0
1607295815,"15",21.7,997.79,22.37,38.27,689,0
1607295795,"15",21.71,997.79,22.39,38.4,691,0
1607295775,"15",21.69,997.81,22.4,38.6,689,0
1607295755,"15",21.68,997.79,22.37,38.1,690,0
1607295735,"15",21.69,997.81,22.41,37.59,690,0.72
1607295714,"15",21.71,997.81,22.43,37.73,696,0
1607295694,"15",21.72,997.78,22.44,37.91,711,0
1607295674,"15",21.71,997.79,22.41,38.43,721,0
1607295654,"15",21.72,997.77,22.4,38.83,727,0
1607295633,"15",21.73,997.79,22.43,38.24,738,0
1607295613,"15",21.72,997.79,22.43,38.92,743,0.72
1607295593,"15",21.73,997.78,22.44,38.96,755,0.73
1607295573,"15",21.73,997.77,22.44,38.94,767,0
1607295552,"15",21.73,997.78,22.47,39.01,773,0
1607295532,"15",21.73,997.78,22.44,39.4,777,0
1607295512,"15",21.78,997.79,22.5,39.39,780,0
1607295492,"15",21.79,997.78,22.51,39.25,782,0
1607295471,"15",21.79,997.79,22.49,39.67,787,0
1607295451,"15",21.81,997.79,22.53,39.96,785,0
1607295431,"15",21.81,997.79,22.57,40.01,789,0
1607295411,"15",21.78,997.81,22.54,39.83,786,0
1607295391,"15",21.74,997.8,22.46,40.13,807,0
1607295370,"15",21.74,997.79,22.44,40.3,817,0
1607295350,"15",21.77,997.8,22.51,40.54,828,0
1607295330,"15",21.76,997.77,22.5,41.12,854,0
1607295310,"15",21.77,997.78,22.49,42.88,882,0
1607295289,"15",21.75,997.79,22.46,42.06,954,0.76
1607295269,"15",21.73,997.77,22.44,42.22,967,0
1607295249,"15",21.73,997.78,22.43,42.42,964,0
1607295229,"15",21.71,997.77,22.4,42.38,960,0
1607295208,"15",21.68,997.78,22.37,42.52,964,0
1607295188,"15",21.65,997.79,22.34,43.4,943,0
1607295168,"15",21.6,997.75,22.31,42.63,933,0
1607295148,"15",21.56,997.74,22.29,41.85,929,0
1607295127,"15",21.52,997.78,22.23,43.19,925,0.71
1607295107,"15",21.49,997.76,22.19,41.14,919,2.35
1607295087,"15",21.45,997.77,22.1,42.11,918,0
1607295067,"15",21.41,997.75,22.07,41.87,917,0
1607295047,"15",21.42,997.74,22.1,40.85,913,0
1607295026,"15",21.42,997.76,22.1,41.99,909,0.72
1607295006,"15",21.39,997.75,22.06,41.44,904,0
1607294986,"15",21.4,997.77,22.06,40.35,902,2.72
1607294966,"15",21.39,997.76,22.05,40.26,897,0
1607294945,"15",21.35,997.77,22.02,39.36,904,0
1607294925,"15",21.33,997.77,22,39.14,920,2.37
1607294905,"15",21.32,997.75,21.97,39.75,920,0
1607294885,"15",21.32,997.75,21.95,39.52,921,0
1607294864,"15",21.32,997.77,21.95,39.75,918,0
1607294844,"15",21.34,997.75,21.96,39.27,906,0
1607294824,"15",21.34,997.77,21.97,38.87,905,0
1607294804,"15",21.33,997.75,21.93,37.37,834,0.77
1607294783,"15",21.33,997.75,21.93,36.71,835,0
1607294763,"15",21.36,997.76,21.97,36.81,834,0
1607294743,"15",21.36,997.78,21.97,36.72,831,0
1607294723,"15",21.35,997.78,21.95,36.77,840,0
1607294703,"15",21.35,997.79,21.93,37.05,849,0
1607294682,"15",21.37,997.78,21.97,38.56,849,0
1607294662,"15",21.39,997.79,21.96,37.41,848,0
1607294642,"15",21.4,997.83,21.97,36.92,850,0
1607294622,"15",21.36,997.8,21.97,36.45,865,2.95
1607294601,"15",21.34,997.81,21.96,37.35,871,0
