"timestamp","deviceId","temp","humid","co2"
1607296074,"15",22.54,34.69,750
1607296064,"15",22.52,34.99,747
1607296053,"15",22.51,35.13,747
1607296043,"15",22.5,35.21,748
1607296032,"15",22.54,35.13,746
1607296022,"15",22.55,35.35,746
1607296011,"15",22.57,35.5,746
1607296001,"15",22.58,35.61,745
1607295990,"15",22.58,35.62,744
1607295980,"15",22.58,35.57,740
1607295970,"15",22.62,35.5,736
1607295959,"15",22.58,35.47,735
1607295949,"15",22.54,35.16,738
1607295938,"15",22.54,34.82,739
1607295928,"15",22.55,34.69,738
1607295917,"15",22.57,34.59,742
1607295907,"15",22.58,35,743
1607295896,"15",22.6,35.08,751
1607295886,"15",22.62,35.01,754
1607295875,"15",22.6,34.91,756
1607295865,"15",22.62,34.96,761
1607295854,"15",22.64,35.18,765
1607295844,"15",22.62,35.29,769
1607295834,"15",22.64,35.5,774
1607295823,"15",22.64,35.84,776
1607295813,"15",22.65,36,777
1607295802,"15",22.65,36.05,776
1607295792,"15",22.67,36.21,778
1607295781,"15",22.68,36.19,778
1607295771,"15",22.7,36.41,777
1607295760,"15",22.71,36.33,778
1607295750,"15",22.7,35.97,778
1607295739,"15",22.74,35.6,778
1607295729,"15",22.76,35.24,780
1607295718,"15",22.78,35.45,783
1607295708,"15",22.76,35.45,788
1607295698,"15",22.76,35.42,795
1607295687,"15",22.81,35.59,802
1607295677,"15",22.76,35.82,809
1607295666,"15",22.81,35.94,812
1607295656,"15",22.83,36.12,815
1607295645,"15",22.91,36.32,818
1607295635,"15",22.91,36.22,822
1607295624,"15",22.91,36.27,828
1607295614,"15",22.89,36.13,832
1607295603,"15",22.86,36.82,837
1607295593,"15",22.86,36.9,843
1607295582,"15",22.85,36.71,843
1607295572,"15",22.83,36.62,843
1607295562,"15",22.85,36.57,851
1607295551,"15",22.83,36.49,857
1607295541,"15",22.82,36.48,861
1607295530,"15",22.85,36.76,863
1607295520,"15",22.83,36.83,865
1607295509,"15",22.82,37.02,867
1607295499,"15",22.88,37.13,868
1607295488,"15",22.88,36.76,869
1607295478,"15",22.91,36.88,871
1607295467,"15",22.89,37.21,873
1607295457,"15",22.91,37.23,873
1607295446,"15",22.96,37.23,869
1607295436,"15",22.96,37.39,869
1607295426,"15",22.93,37.51,868
1607295415,"15",22.88,37.39,870
1607295405,"15",22.88,37.45,872
1607295394,"15",22.79,37.51,875
1607295384,"15",22.81,37.75,878
1607295373,"15",22.78,37.77,872
1607295363,"15",22.79,37.81,878
1607295352,"15",22.76,37.99,883
1607295342,"15",22.79,38.05,899
1607295331,"15",22.76,38.41,922
1607295321,"15",22.76,38.71,965
1607295310,"15",22.76,39.55,979
1607295300,"15",22.78,40.33,989
1607295290,"15",22.79,40.51,1019
1607295279,"15",22.76,39.38,1043
1607295269,"15",22.74,39.32,1059
1607295258,"15",22.72,39.28,1063
